TC_ID,2018_Total_A,2018_Can_A,2018_LowVeg_A,2018_Barren_A,2018_Water_A,2018_Build_A,2018_Road_A,2018_Shrub_A,2018_Wetlands_A,2018_Imperv_A,2013_Total_A,2013_Can_A,2013_LowVeg_A,2013_Barren_A,2013_Water_A,2013_Build_A,2013_Road_A,2013_Shrub_A,2013_Wetlands_A,2013_Imperv_A,Can_PChange,LowVeg_Pchange,Barren_Pchange,Water_Pchange,Build_Pchange,Road_Pchange,Shrub_Pchange,Wetlands_Pchange,Imperv_Pchange
80,898,898,0,0,0,0,0,0,0,0,898,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,5405,1607,164,3634,0,0,0,0,0,0,5405,1607,164,3634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1801,1028,286,2,485,0,0,0,0,0,1801,1028,286,2,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2695,2695,0,0,0,0,0,0,0,0,2695,2695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3603,1632,609,0,1362,0,0,0,0,0,3603,1632,609,0,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,74341,58081,7991,76,7373,54,0,0,0,766,74341,58061,8039,76,7373,26,0,0,0,766,0.03444653,-0.59708919,0,0,107.6923077,0,0,0,0
86,23400,15980,4159,0,0,267,1447,1325,0,222,23400,15783,4256,0,0,260,1453,1421,0,227,1.24817842,-2.279135338,0,0,2.692307692,-0.412938747,-6.755805771,0,-2.202643172
87,8099,8099,0,0,0,0,0,0,0,0,8099,8099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3596,3596,0,0,0,0,0,0,0,0,3596,3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,899,566,333,0,0,0,0,0,0,0,899,566,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,898,898,0,0,0,0,0,0,0,0,898,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,48403,46617,1641,0,0,0,89,0,0,56,48403,46617,1641,0,0,0,89,0,0,56,0,0,0,0,0,0,0,0,0
92,4500,2308,2192,0,0,0,0,0,0,0,4500,2297,2203,0,0,0,0,0,0,0,0.478885503,-0.49931911,0,0,0,0,0,0,0
93,10798,7621,1131,0,0,1244,0,0,0,802,10798,7655,1107,0,0,1244,0,0,0,792,-0.444154148,2.16802168,0,0,0,0,0,0,1.262626263
94,879932,763454,113864,523,0,0,2091,0,0,0,879932,763413,113905,523,0,0,2091,0,0,0,0.005370619,-0.035994908,0,0,0,0,0,0,0
95,2701,2701,0,0,0,0,0,0,0,0,2701,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,5401,5401,0,0,0,0,0,0,0,0,5401,5401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,3603,602,2407,0,0,127,365,0,0,102,3603,580,2437,0,0,87,369,0,0,130,3.793103448,-1.231021748,0,0,45.97701149,-1.08401084,0,0,-21.53846154
98,2698,2698,0,0,0,0,0,0,0,0,2698,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,12605,12488,117,0,0,0,0,0,0,0,12605,12488,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,902,902,0,0,0,0,0,0,0,0,902,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,452766,340753,103311,567,4616,405,2480,0,0,634,452766,340299,103765,567,4616,405,2480,0,0,634,0.133412088,-0.437527105,0,0,0,0,0,0,0
102,898,60,229,0,0,4,0,0,0,605,898,60,229,0,0,4,0,0,0,605,0,0,0,0,0,0,0,0,0
103,1799,1799,0,0,0,0,0,0,0,0,1799,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,9895,3723,4657,0,0,343,419,0,0,753,9895,3739,4688,0,0,296,419,0,0,753,-0.427921904,-0.661262799,0,0,15.87837838,0,0,0,0
105,1799,1799,0,0,0,0,0,0,0,0,1799,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1801,1801,0,0,0,0,0,0,0,0,1801,1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,902,902,0,0,0,0,0,0,0,0,902,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,27000,21053,4548,0,0,537,718,0,0,144,27000,21000,4657,0,0,471,723,0,0,149,0.252380952,-2.340562594,0,0,14.01273885,-0.691562932,0,0,-3.355704698
109,903,767,16,0,0,0,0,0,0,120,903,862,41,0,0,0,0,0,0,0,-11.02088167,-60.97560976,0,0,0,0,0,0,0
110,1797,1572,225,0,0,0,0,0,0,0,1797,1572,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,9000,9000,0,0,0,0,0,0,0,0,9000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,3604,3604,0,0,0,0,0,0,0,0,3604,3604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,76485,58811,9323,0,7534,0,28,789,0,0,76485,58811,9323,0,7534,0,28,789,0,0,0,0,0,0,0,0,0,0,0
114,4496,961,2798,0,0,388,147,0,0,202,4496,836,2941,0,0,356,147,0,0,216,14.95215311,-4.862291738,0,0,8.988764045,0,0,0,-6.481481481
115,3603,3586,17,0,0,0,0,0,0,0,3603,3586,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,900,332,381,0,0,74,0,0,0,113,900,357,378,0,0,74,0,0,0,91,-7.00280112,0.793650794,0,0,0,0,0,0,24.17582418
117,901,901,0,0,0,0,0,0,0,0,901,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1800,1799,1,0,0,0,0,0,0,0,1800,1799,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,4497,4290,40,0,0,0,167,0,0,0,4497,4290,40,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0
120,2702,1576,1126,0,0,0,0,0,0,0,2702,1576,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,6301,6301,0,0,0,0,0,0,0,0,6301,6301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,897,897,0,0,0,0,0,0,0,0,897,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,3603,3064,539,0,0,0,0,0,0,0,3603,3064,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2701,2443,258,0,0,0,0,0,0,0,2701,2443,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2703,186,1249,0,0,130,391,0,0,747,2703,186,1249,0,0,130,391,0,0,747,0,0,0,0,0,0,0,0,0
