CPFA,MUN_CODE,MUN_NAME,RUVI_CODE,RUVI_NAME,COMMENT_,ACRES,JURSCODE,STATE_ELIGIBLE,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Change_Acres,LowVeg_Change_Acres,Barren_Change_Acres,Water_Change_Acres,Buildings_Change_Acres,Road_Change_Acres,Shrub_Change_Acres,Wetlands_Change_Acres,Impervious_Change_Acres,Forest_Change,Forest_Change_Acres,NonForest_Change_Acres
IN,,, , ,NO,95.55418941,PRIN,YES,37,-1.632663615,1.447262948,0,0,-0.012153182,-0.036459545,0,0,0.234013394,-1.56022097,1.383046685,0,0,-0.011613935,-0.034841805,0,0,0.223630025,-32.97964487,-0.008149435,-1.552071535
IN,MUN,HYATTSVILLE, , ,NO,122.9410354,PRIN,YES,38,-1.349406695,-0.678120076,8.49358459,0,-4.556508666,-0.050647972,-0.00100492,0,-1.85789626,-1.65906297,-0.83373227,10.4426573,0,-5.602117455,-0.06227046,-0.001235525,0,-2.28423862,0,0,-1.65906297
IN,MUN,HYATTSVILLE, , ,NO,45.79203516,PRIN,YES,39,-5.383747848,2.204330957,3.805371337,0,-0.093893167,0,-0.019965788,0,-0.51209549,-2.465366585,1.009423925,1.74258446,0,-0.04299627,0,-0.009142885,0,-0.234502645,-97.43985985,-0.024077877,-2.441288708
IN,,, , ,NO,2.85799207,PRIN,YES,40,-1.149325959,0.959211891,0,0,0,-0.043207743,0,0,0.233321811,-0.032864965,0.027428655,0,0,0,-0.001235525,0,0,0.006671835,0,0,0
IN,MUN,NEW CARROLLTON, , ,NO,4.79595815,PRIN,YES,41,-0.329777915,0.113361158,0,0,0,0,0,0,0.216416757,-0.01581472,0.00543631,0,0,0,0,0,0,0.01037841,0,0,0
IN,MUN,RIVERDALE PARK, , ,NO,1.75333032,PRIN,YES,42,-0.084530854,0.084530854,0,0,0,0,0,0,0,-0.00148263,0.00148263,0,0,0,0,0,0,0,0,0,0
IN,MUN,NEW CARROLLTON, , ,NO,88.85637672,PRIN,YES,43,-2.79382117,2.441778013,0,0,-0.002502676,-0.038374373,-0.001390376,0,0.394310582,-2.482663935,2.169829005,0,0,-0.002223945,-0.03410049,-0.001235525,0,0.35039489,0,0,0
IN,,, , ,NO,18.38480661,PRIN,YES,44,-3.718386325,3.342113043,0,0,0,-0.012094498,0,0,0.38836778,-0.683739535,0.614550135,0,0,0,-0.002223945,0,0,0.071413345,-53.96669161,-0.013335439,-0.670404096
IN,MUN,BOWIE, , ,NO,133.7932075,PRIN,YES,45,-2.164871533,2.0045654,0,0,0,-0.010157647,-0.004432428,0,0.174896207,-2.89656481,2.68207767,0,0,0,-0.013590775,-0.00593052,0,0.234008435,-1064.343085,-0.263004498,-2.633560312
IN,MUN,NEW CARROLLTON, , ,NO,3.41554705,PRIN,YES,46,-3.241913308,3.04653014,0,0,0,-0.072364136,0,0,0.267747304,-0.11070304,0.104031205,0,0,0,-0.00247105,0,0,0.009142885,0,0,0
