GENZONE,JURSCODE,ZONING,MUNICIPALITY_NAME,ACRES,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Area_Acres_Change,LowVeg_Area_Acres_Change,Barren_Area_Acres_Change,Water_Area_Acres_Change,Buildings_Area_Acres_Change,Road_Area_Acres_Change,Shrub_Area_Acres_Change,Wetlands_Area_Acres_Change,Impervious_Area_Acres_Change,TC_OutsideForest_A_Acres_2013,TC_InsideForest_A_Acres_2013,TC_OutsideForest_A_Acres_2018,TC_InsideForest_A_Acres_2018,TC_InsideForestChange_acres,TC_OutsideForestChange_acres
COMMERCIAL,CARR,C-2,,0.40184441,3735,0.307503075,-0.307503075,0,0,0,0,0,0,0,0.001235527,-0.001235527,0,0,0,0,0,0,0,0.121081646,0,0.122317173,0,0,0.001235527
COMMERCIAL,CARR,C-2,,4.97633833,3736,1.279307083,-1.279307083,0,0,0,0,0,0,0,0.063506088,-0.063506088,0,0,0,0,0,0,0,0.199166952,0,0.26267304,0,0,0.063506088
COMMERCIAL,CARR,C-2,,1.306861,3737,3.595080416,-2.024597919,0,0,0,0,0,0,-1.570482498,0.046950026,-0.026440278,0,0,0,0,0,0,-0.020509748,0.085745574,0,0.1326956,0,0,0.046950026
COMMERCIAL,CARR,C-2,,0.7722673,3738,0.833333333,-1.153846154,0,0,0.352564103,0,0,0,-0.032051282,0.00642474,-0.008895794,0,0,0.002718159,0,0,0,-0.000247105,0.025698962,0,0.032123702,0,0,0.00642474
COMMERCIAL,CARR,C-2,,0.23319803,3739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006177635,0,0.006177635,0,0,0
COMMERCIAL,CARR,C-2,,0.6602991,3740,-0.148257969,0.148257969,0,0,0,0,0,0,0,-0.000988422,0.000988422,0,0,0,0,0,0,0,0.183846418,0,0.182857996,0,0,-0.000988422
COMMERCIAL,CARR,C-2,,0.28306555,3741,0.087336245,-0.087336245,0,0,0,0,0,0,0,0.000247105,-0.000247105,0,0,0,0,0,0,0,0,0,0.000247105,0,0,0.000247105
COMMERCIAL,CARR,C-2,,0.39104292,3742,-3.089533417,3.089533417,0,0,0,0,0,0,0,-0.012108165,0.012108165,0,0,0,0,0,0,0,0.12948323,0,0.117375065,0,0,-0.012108165
COMMERCIAL,CARR,C-2,,0.30310199,3743,5.700325733,-4.804560261,0,0,0,0,0,0,-0.895765472,0.017297378,-0.014579219,0,0,0,0,0,0,-0.002718159,0.093652947,0,0.110950325,0,0,0.017297378
COMMERCIAL,CARR,C-2,,0.50120726,3744,0.443786982,-0.443786982,0,0,0,0,0,0,0,0.002223949,-0.002223949,0,0,0,0,0,0,0,0.026440278,0,0.028664226,0,0,0.002223949
COMMERCIAL,CARR,C-2,,0.13681112,3745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017050273,0,0.017050273,0,0,0
